,ASDC,B Cell,CD1C,CLEC9A,Eccrine,Endothelial Cell,Fibroblast,Keratinocyte,LC,MDSC,Mac,Melanocyte,Multiplet,NK,PDC,Pilosebaceous,TSK,Tcell,Tumor_KC_Basal,Tumor_KC_Cyc,Tumor_KC_Diff
40x52,0.016249932,0.009671267,0.12290001,0.03399303,0.002621486,0.0062552444,0.024152165,0.24152523,0.0770303,0.015650755,0.10032767,0.034344666,0.013682229,0.0064698732,0.029907959,0.055760913,0.014417932,0.041951153,0.04629293,0.030276556,0.076518714
41x23,0.016215187,0.012008534,0.12067447,0.035939407,0.0027978653,0.004202285,0.016569136,0.2432299,0.06720562,0.016892511,0.09727847,0.038149867,0.016549934,0.0061217216,0.026387176,0.06256864,0.024099424,0.034946684,0.049031075,0.033766527,0.075365536
41x25,0.017549463,0.0055003953,0.11001421,0.092489235,4.620218e-06,0.00049723714,0.011013528,0.2667606,0.07404837,0.008959966,0.07912405,0.02590209,0.01873752,0.00230365,0.038395498,0.04596145,0.023835717,0.023302745,0.05424592,0.029584683,0.071769066
41x27,0.019656906,0.006839693,0.12848464,0.045604654,4.159377e-06,0.00016008149,0.012896344,0.258037,0.072859555,0.009914768,0.087245084,0.032034457,0.012779033,0.0027205497,0.041875053,0.05179901,0.024071561,0.025777208,0.05265764,0.03496085,0.07962167
41x29,0.014431371,0.01605524,0.118696176,0.030475711,0.0015934148,0.0031581616,0.018423598,0.22353773,0.06484509,0.02057943,0.096018806,0.047134306,0.024022862,0.004864959,0.019168997,0.07422642,0.0183962,0.040359765,0.051023345,0.032508284,0.08048015
41x31,0.010569289,0.015185438,0.10162149,0.021598414,5.4394153e-05,0.005507317,0.017410737,0.22277063,0.071897656,0.030761102,0.09807545,0.053830486,0.065615036,0.004173865,0.0066365227,0.05943844,0.008074834,0.039444182,0.04173162,0.03460693,0.09099616
41x33,0.0187828,0.013847191,0.11462188,0.022697592,2.1312288e-05,0.012390036,0.036746632,0.22370689,0.06659348,0.014999645,0.08725398,0.033473417,0.033495553,0.004997984,0.011208313,0.06304635,0.009297761,0.05656447,0.04736112,0.03131703,0.09757653
41x35,0.017206514,0.014626016,0.120429546,0.033431027,4.5391416e-06,0.004285786,0.04004519,0.21461406,0.07397238,0.011247787,0.089288995,0.029465508,0.018684173,0.0105514405,0.017759472,0.060249913,0.013150737,0.04356099,0.05804055,0.03460406,0.09478123
41x37,0.016319582,0.008562327,0.11827384,0.028411036,0.00021352511,0.017163543,0.04139674,0.22663808,0.06997997,0.012935536,0.09215498,0.025234936,0.023616545,0.0064156884,0.013424572,0.055164922,0.010953008,0.059489544,0.052784238,0.028262042,0.09260531
41x39,0.011947244,0.010515667,0.117786676,0.0339536,9.9294675e-06,0.005356733,0.038862374,0.22343905,0.07302983,0.014487807,0.09751155,0.035234522,0.016144825,0.0054318635,0.013673478,0.067231655,0.011332825,0.05486933,0.051390756,0.028118793,0.08967139
41x41,0.016998589,0.009142166,0.12583008,0.037990555,3.0498844e-05,0.0066181463,0.0317587,0.22724944,0.07210719,0.013191613,0.09947607,0.03179201,0.013348614,0.006325767,0.026790885,0.05569928,0.012738423,0.044473547,0.052674275,0.028902037,0.0868621
41x43,0.018821962,0.007303902,0.13326456,0.034101862,1.2350709e-05,0.014641242,0.026841471,0.2302475,0.07199668,0.014181518,0.09850322,0.03620474,0.012318308,0.0075254724,0.020988388,0.05558731,0.011898422,0.041291375,0.05184395,0.028220037,0.08420574
41x45,0.013664617,0.010278644,0.122559,0.027086392,5.7228284e-05,0.0037818355,0.035081252,0.24437366,0.08435269,0.017272457,0.09745953,0.03705188,0.0131451255,0.00686562,0.016740113,0.058914542,0.010905,0.04654085,0.04664678,0.026664238,0.08055849
41x47,0.014644884,0.01047404,0.12382094,0.026273493,0.0013885797,0.0028063057,0.03359634,0.24603343,0.07408891,0.01544563,0.102792665,0.03244217,0.014045868,0.008001763,0.022807788,0.059228823,0.012210084,0.04673354,0.04656573,0.026698284,0.079900764
41x49,0.0134306075,0.0066986517,0.12960118,0.031544838,3.0118556e-06,0.00011081477,0.03183483,0.2557425,0.08068882,0.011199204,0.101852044,0.027316373,0.010709505,0.0041238936,0.028640501,0.05528973,0.012036794,0.042751025,0.048733834,0.026218602,0.081473276
41x51,0.018479215,0.0076852906,0.11928591,0.025373,0.0034693878,0.02295541,0.036092784,0.24962386,0.08009641,0.01337875,0.082312986,0.02043502,0.018894935,0.007281417,0.018720994,0.047788102,0.01222494,0.0643674,0.044376478,0.025600782,0.08155703
